Quandl Code, Compute z* Score, Observations Used,> 1.96,> 2.58
YAHOO/CTL,2.1951607641,2520,TRUE,FALSE
YAHOO/CTSH,3.0488995467,2520,TRUE,TRUE
YAHOO/CTXS,3.003727154,2520,TRUE,TRUE
YAHOO/CVC,-1.4818446994,2520,FALSE,FALSE
YAHOO/CVS,3.0067188606,2520,TRUE,TRUE
YAHOO/CVX,2.1714253787,2520,TRUE,FALSE
YAHOO/D,2.331823813,2520,TRUE,FALSE
YAHOO/DD,0.6419433054,2520,FALSE,FALSE
YAHOO/DE,-0.0602354577,2520,FALSE,FALSE
YAHOO/DGX,1.9722345319,2520,TRUE,FALSE
YAHOO/DHI,0.3045180472,2520,FALSE,FALSE
YAHOO/DHR,2.5159629144,2520,TRUE,FALSE
YAHOO/DIS,2.4948992955,2520,TRUE,FALSE
YAHOO/DISCA,1.6198250764,2520,FALSE,FALSE
YAHOO/DLTR,2.2498953816,2520,TRUE,FALSE
YAHOO/DNB,2.2382649735,2520,TRUE,FALSE
YAHOO/DO,1.2348778908,2520,FALSE,FALSE
YAHOO/DOV,0.2325028268,2520,FALSE,FALSE
YAHOO/DOW,0.7411214688,2520,FALSE,FALSE
YAHOO/DRI,-0.1177728785,2520,FALSE,FALSE
YAHOO/DTE,2.2317001188,2520,TRUE,FALSE
YAHOO/DUK,3.7798849581,2520,TRUE,TRUE
YAHOO/DVA,2.6910599114,2520,TRUE,TRUE
YAHOO/DVN,1.4769305193,2520,FALSE,FALSE
YAHOO/EA,1.6851094316,2520,FALSE,FALSE
YAHOO/EBAY,2.7581103589,2520,TRUE,TRUE
YAHOO/ECL,3.9796868697,2520,TRUE,TRUE
YAHOO/ED,3.3617283267,2520,TRUE,TRUE
YAHOO/EFX,2.7941365179,2520,TRUE,TRUE
YAHOO/EIX,2.7756025714,2520,TRUE,TRUE
YAHOO/EL,1.7536940827,2520,FALSE,FALSE
YAHOO/EMC,1.89326994,2520,FALSE,FALSE
YAHOO/EMN,0.1598066938,2520,FALSE,FALSE
YAHOO/EMR,3.9412733984,2520,TRUE,TRUE
YAHOO/ENDP,-0.8962365502,2520,FALSE,FALSE
YAHOO/EOG,2.2274435096,2520,TRUE,FALSE
YAHOO/EQIX,0.9830522407,2520,FALSE,FALSE
YAHOO/EQR,6.1168552756,2520,TRUE,TRUE
YAHOO/EQT,0.3719205535,2520,FALSE,FALSE
YAHOO/ESRX,0.5016574917,2520,FALSE,FALSE
YAHOO/ESS,4.7332185609,2520,TRUE,TRUE
YAHOO/ESV,1.4058326658,2520,FALSE,FALSE
YAHOO/ETFC,0.9155434882,2520,FALSE,FALSE
YAHOO/ETN,0.7961323553,2520,FALSE,FALSE
YAHOO/ETR,2.5856998956,2520,TRUE,TRUE
YAHOO/EW,0.945932118,2520,FALSE,FALSE
YAHOO/EXC,2.2148602142,2520,TRUE,FALSE
YAHOO/EXPD,2.5388063243,2520,TRUE,FALSE
YAHOO/EXPE,0.881304006,2520,FALSE,FALSE
YAHOO/EXR,3.1835555892,2520,TRUE,TRUE
YAHOO/F,-1.8336732106,2520,FALSE,FALSE
YAHOO/FAST,1.1734681433,2520,FALSE,FALSE
YAHOO/FCX,-0.3098043387,2520,FALSE,FALSE
YAHOO/FDX,1.8128193537,2520,FALSE,FALSE
YAHOO/FE,2.3499295073,2520,TRUE,FALSE
YAHOO/FFIV,0.6847859926,2520,FALSE,FALSE
YAHOO/FIS,2.8456760103,2520,TRUE,TRUE
YAHOO/FISV,1.8485205025,2520,FALSE,FALSE
YAHOO/FITB,0.9153679731,2520,FALSE,FALSE
YAHOO/FLIR,2.3353973542,2520,TRUE,FALSE
YAHOO/FLR,2.0061985163,2520,TRUE,FALSE
YAHOO/FLS,0.7853107869,2520,FALSE,FALSE
YAHOO/FMC,1.1753193864,2520,FALSE,FALSE
YAHOO/FOX,1.108223282,2520,FALSE,FALSE
YAHOO/FOXA,1.6167912285,2520,FALSE,FALSE
YAHOO/FRT,5.0783691324,2520,TRUE,TRUE
YAHOO/FTI,1.706044494,2520,FALSE,FALSE
YAHOO/FTR,1.4515137065,2520,FALSE,FALSE
YAHOO/GAS,2.347172726,2520,TRUE,FALSE
YAHOO/GD,1.1137179075,2520,FALSE,FALSE
YAHOO/GE,0.1180266633,2520,FALSE,FALSE
YAHOO/GGP,-1.0012118135,2520,FALSE,FALSE
YAHOO/GILD,2.9610963101,2520,TRUE,TRUE
YAHOO/GIS,3.619435179,2520,TRUE,TRUE
YAHOO/GLW,0.4104136567,2520,FALSE,FALSE
YAHOO/GMCR,-0.4062367569,2520,FALSE,FALSE
YAHOO/GME,1.8290392346,2520,FALSE,FALSE
YAHOO/GOOGL,0.7770966242,2520,FALSE,FALSE
YAHOO/GPC,1.3764948907,2520,FALSE,FALSE
YAHOO/GPS,2.5839738966,2520,TRUE,TRUE
YAHOO/GRMN,0.7677812838,2520,FALSE,FALSE
YAHOO/GS,1.3889349589,2520,FALSE,FALSE
YAHOO/GT,-0.6197559338,2520,FALSE,FALSE
YAHOO/GWW,1.0617035431,2520,FALSE,FALSE
YAHOO/HAL,0.3791002793,2520,FALSE,FALSE
YAHOO/HAR,-2.0592580801,2520,TRUE,FALSE
YAHOO/HAS,2.5375105034,2520,TRUE,FALSE
YAHOO/HBAN,1.4852444173,2520,FALSE,FALSE
YAHOO/HCN,5.6706886779,2520,TRUE,TRUE
YAHOO/HCP,4.8965189328,2520,TRUE,TRUE
YAHOO/HD,0.5078356383,2520,FALSE,FALSE
YAHOO/HES,1.6278109778,2520,FALSE,FALSE
YAHOO/HIG,0.9004838883,2520,FALSE,FALSE
YAHOO/HOG,-0.2457836062,2520,FALSE,FALSE
YAHOO/HON,1.3115551639,2520,FALSE,FALSE
YAHOO/HOT,0.5115753604,2520,FALSE,FALSE
YAHOO/HP,0.708899737,2520,FALSE,FALSE
YAHOO/HPQ,1.1208748435,2520,FALSE,FALSE
YAHOO/HRB,1.1807366323,2520,FALSE,FALSE
YAHOO/HRL,2.7157533581,2520,TRUE,TRUE
YAHOO/HRS,1.827413499,2520,FALSE,FALSE
YAHOO/HSIC,2.6088382041,2520,TRUE,TRUE
YAHOO/HST,4.1452340236,2520,TRUE,TRUE
YAHOO/HSY,3.6392528809,2520,TRUE,TRUE
YAHOO/HUM,-0.4926133706,2520,FALSE,FALSE
YAHOO/IBM,0.628195705,2520,FALSE,FALSE
YAHOO/ICE,2.5150116036,2520,TRUE,FALSE
YAHOO/IFF,4.1076213376,2520,TRUE,TRUE
YAHOO/ILMN,-0.3165274594,2520,FALSE,FALSE
YAHOO/INTC,2.0547091231,2520,TRUE,FALSE
YAHOO/INTU,3.8701872954,2520,TRUE,TRUE
YAHOO/IP,0.5277690685,2520,FALSE,FALSE
YAHOO/IPG,0.9567744661,2520,FALSE,FALSE
YAHOO/IR,1.0970206662,2520,FALSE,FALSE
YAHOO/IRM,-0.3873966655,2520,FALSE,FALSE
YAHOO/ISRG,-0.4325006636,2520,FALSE,FALSE
YAHOO/ITW,1.6978533822,2520,FALSE,FALSE
YAHOO/IVZ,3.4601267189,2520,TRUE,TRUE
YAHOO/JBHT,2.4829266942,2520,TRUE,FALSE
YAHOO/JCI,-0.2884212415,2520,FALSE,FALSE
YAHOO/JEC,0.9080397209,2520,FALSE,FALSE
YAHOO/JNJ,2.0698804023,2520,TRUE,FALSE
YAHOO/JNPR,2.3728546587,2520,TRUE,FALSE
YAHOO/JPM,2.6448363434,2520,TRUE,TRUE
YAHOO/JWN,-0.0995418331,2520,FALSE,FALSE
YAHOO/K,3.355226337,2520,TRUE,TRUE
YAHOO/KEY,2.5889946048,2520,TRUE,TRUE
YAHOO/KIM,3.5028574198,2520,TRUE,TRUE
YAHOO/KLAC,0.7197042036,2520,FALSE,FALSE
YAHOO/KMB,4.6771560644,2520,TRUE,TRUE
YAHOO/KMX,0.6075927305,2520,FALSE,FALSE
YAHOO/KO,1.8439302545,2520,FALSE,FALSE
YAHOO/KR,3.4978443305,2520,TRUE,TRUE
YAHOO/KSS,1.8520302037,2520,FALSE,FALSE
YAHOO/KSU,0.3003982084,2520,FALSE,FALSE
YAHOO/L,3.2179223002,2520,TRUE,TRUE
YAHOO/LB,0.2805402873,2520,FALSE,FALSE
YAHOO/LEG,0.5494241481,2520,FALSE,FALSE
YAHOO/LEN,-0.3589562093,2520,FALSE,FALSE
YAHOO/LH,1.7789966141,2520,FALSE,FALSE
YAHOO/LLL,1.3895685779,2520,FALSE,FALSE
YAHOO/LLTC,1.8165033225,2520,FALSE,FALSE
YAHOO/LLY,2.4044450709,2520,TRUE,FALSE
YAHOO/LM,1.6698562824,2520,FALSE,FALSE
YAHOO/LMT,2.4189502988,2520,TRUE,FALSE
YAHOO/LNC,0.7158016927,2520,FALSE,FALSE
YAHOO/LOW,0.9056827258,2520,FALSE,FALSE
YAHOO/LRCX,2.0597261997,2520,TRUE,FALSE
YAHOO/LUK,1.1968028742,2520,FALSE,FALSE
YAHOO/LUV,1.701015544,2520,FALSE,FALSE
