,code,compression,sparcity,optimizer,starting,ending,frequency,window,ACTUAL,SIM0,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10,SIM11,SIM12,SIM13,SIM14,SIM15,SIM16,SIM17,SIM18,SIM19,SIM20,SIM21,SIM22,SIM23,SIM24,SIM25,SIM26,SIM27,SIM28,SIM29,SIM30,SIM31,SIM32,SIM33,SIM34,SIM35,SIM36,SIM37,SIM38,SIM39,SIM40,SIM41,SIM42,SIM43,SIM44,SIM45,SIM46,SIM47,SIM48,SIM49,SIM50,SIM51,SIM52,SIM53,SIM54
0,YAHOO/INDEX_NYA,0.86,l0,sgd-momentum,1985-01-01,2016-01-01,daily,5,5.6051987727793554e-05,6.545521262943602e-05,5.722018637849639e-05,8.355080320213277e-05,7.137913885227859e-05,0.0001008725019906146,7.474076201339277e-05,9.1287170130855e-05,8.035514373869564e-05,6.565805263399409e-05,6.080875628424856e-05,7.049310422586038e-05,7.293109613387153e-05,9.062228984056184e-05,6.595249500465938e-05,8.781242676121063e-05,7.861550369013388e-05,6.485636150524115e-05,7.26232014130801e-05,6.70298316832393e-05,5.797660276771356e-05,7.669408887756081e-05,5.2487856233850695e-05,9.338105185470806e-05,7.138631738668594e-05,9.508698963028833e-05,9.0719968937218e-05,6.209475875202304e-05,6.56881642778619e-05,6.264802228916102e-05,6.894500540324653e-05,6.755906331072299e-05,7.835390898458755e-05,8.399624419279206e-05,7.139629067238181e-05,8.170328178377344e-05,8.633956992222617e-05,7.880849566740485e-05,7.821551918870029e-05,7.186562678469225e-05,5.9438890774543275e-05,0.00010016117586742322,7.379972704280263e-05,7.279810438959453e-05,7.03425193653227e-05,7.801803738589231e-05,6.964105500045638e-05,6.992283272736062e-05,6.178004050758692e-05,8.255455132502202e-05,9.058929027583546e-05,9.353849133894515e-05,5.953413514921872e-05,8.59682576563687e-05,8.226530480897054e-05,6.350373359731375e-05
1,YAHOO/INDEX_NYA,0.86,l0,sgd-momentum,1985-01-01,2016-01-01,daily,6,6.196295658950336e-05,9.483191944384135e-05,0.00010446285883424422,6.17485710954031e-05,7.910915984002013e-05,6.571149745305331e-05,7.461030633212664e-05,8.661413098124262e-05,8.351062984169962e-05,9.151033304172019e-05,8.43358415668496e-05,6.590044966940649e-05,9.229466205653853e-05,7.143994302262003e-05,8.27895475175375e-05,5.830377392554417e-05,7.677946356498302e-05,6.220216761367061e-05,9.177718132447738e-05,7.071815119930901e-05,6.867070717420668e-05,6.450031113882477e-05,7.152559940153972e-05,9.39287635190293e-05,0.00010642906470307842,7.248270457449298e-05,7.951002275475707e-05,8.055636463746523e-05,6.756012160808612e-05,9.596632406987155e-05,7.359855144153325e-05,7.911978829771471e-05,5.8186876450259334e-05,8.337080052558284e-05,9.647432740073269e-05,8.480169031267556e-05,8.032731898427487e-05,7.482871080402475e-05,7.267229519082973e-05,6.65957348806282e-05,7.996017778238568e-05,6.45090565413762e-05,8.070414717225597e-05,7.141782444728634e-05,6.729427834029477e-05,6.371877571860424e-05,7.076200380628833e-05,5.5926245225306884e-05,6.88926845890446e-05,6.155544691957916e-05,9.613528605908728e-05,6.587275726278909e-05,8.12529368349948e-05,7.57045543883951e-05,7.273487635523988e-05,8.019787111641982e-05
